Top pages,Clicks,Impressions,Average position
/,157,4823,2.3
/blog/,89,2145,4.1
/services/,76,1950,3.8
/about,45,1200,5.2
/contact,34,856,6.7
/blog/seo-guide-2024,156,3100,2.1
/blog/content-strategy,128,2850,3.5
/blog/technical-seo,94,2100,4.2
/services/seo-audit,87,1950,3.9
/services/content-marketing,65,1540,5.3
/blog/keyword-research,102,2300,3.8
/pricing,58,1400,5.9
/solutions/enterprise,72,1650,4.5
/blog/link-building,85,1900,4.1
/faq,42,950,6.8
/services/local-seo,51,1200,5.4
/blog/analytics,76,1700,4.6
/portfolio,64,1450,5.1
/resources,38,850,7.2
/blog/conversion-rate,71,1550,4.7
/case-studies,56,1300,5.6
/services/ppc-management,48,1100,6.3
/blog/user-experience,83,1850,4.3
/terms,28,650,7.9
/privacy,25,580,8.1
/blog/page-speed,79,1750,4.4
/integration/stripe,42,950,6.5
/integration/shopify,38,880,6.9
/features,52,1200,5.7
/blog/mobile-optimization,91,2000,4.0
/webinars,45,1050,6.4
/downloads,39,900,6.8
/api-docs,67,1500,5.0
/partners,36,820,7.1
/community,43,980,6.6
/blog/voice-search,72,1600,4.8
/status,22,500,8.5
/careers,31,710,7.4
/blog/video-seo,85,1900,4.2
/courses,54,1250,5.5
/templates,48,1100,6.1
/blog/schema-markup,78,1720,4.5
/docs/getting-started,63,1400,5.2
/tools/site-audit,59,1300,5.4
/blog/site-structure,81,1800,4.3
/support,37,850,6.7
/products/premium,66,1450,5.0
/blog/crawl-budget,75,1650,4.6
/enterprise-solutions,52,1200,5.8
/docs/api-reference,71,1550,4.9
/blog/indexing,88,1950,4.1
/team,35,800,7.3
/blog/machine-learning,69,1550,4.9
/integrations,55,1250,5.4
/blog/future-of-seo,80,1770,4.4
/security,28,640,7.8
/change-log,32,730,7.2
/docs/best-practices,76,1680,4.7
/blog/international-seo,73,1620,4.7
/forum,41,920,6.7
/blog/competitor-analysis,84,1880,4.3
/events,44,1010,6.5
/blog/serp-features,79,1750,4.5
/legal,26,600,8.2
/docs/troubleshooting,65,1450,5.1
/blog/entity-optimization,77,1700,4.6
/partner-program,48,1100,5.9
/blog/core-web-vitals,92,2050,3.9
/training,50,1150,6.2
/docs/migration-guide,70,1550,4.9
/blog/featured-snippets,86,1900,4.2
/certifications,46,1050,6.4
/blog/quality-raters,81,1800,4.3
/brand-assets,33,750,7.0
/docs/seo-checklist,68,1500,5.0
/blog/user-signals,75,1650,4.6
/referral-program,43,980,6.5
/blog/e-e-a-t,89,1980,4.0
/accessibility,30,690,7.6
/docs/automation,61,1350,5.3
/blog/topic-clusters,82,1820,4.4
/testimonials,39,880,6.9
/blog/search-intent,87,1930,4.1
/sitemaps,24,550,8.3
/docs/custom-reports,59,1300,5.4
/blog/long-tail-keywords,80,1780,4.4
/developers,58,1280,5.3
/blog/ranking-factors,90,2000,3.9
/whitepapers,47,1080,6.3
/docs/data-security,62,1380,5.2
/blog/serp-monitoring,74,1630,4.7
/language/en,36,820,7.1
/blog/ctr-optimization,83,1850,4.3
/webinars/archive,42,960,6.5
/docs/integrations,64,1420,5.1
/blog/link-velocity,77,1710,4.6
/language/es,29,670,7.7
/blog/internal-linking,86,1900,4.1
/specs,25,580,8.0
/docs/analytics-setup,69,1520,4.9
